"C","mxch","qss","diam","maxtl","meantl","medtl","sdtl","par"
"0.12",1,0.988,2,2.14285714285714,1.51428571428571,1.5,0.543775330423627,"5/-5"
"0.12",1,0.666,4,5.85714285714285,3.63857142857143,4.25,1.94258926724732,"5/-5"
"0.12",1,0.57,3,2.9,1.644,1,0.847626752238928,"5/-5"
"0.12",1,1,2,3,1.36666666666667,1,0.674948557710553,"5/-5"
"0.12",1,0.689,2,2.25,0.87468112244898,1,1.01154137052087,"5/-5"
"0.12",1,0.673,3,2.66666666666667,1.63333333333334,1.5,0.697437992287789,"5/-5"
"0.12",1,0.926,4,3.8,2.14,2,1.13548814759703,"5/-5"
"0.12",1,1,2,2.5,1.35,1,0.579750904364203,"5/-5"
"0.12",1,0.636,5,22.448275862069,18.4793103448276,20.2931034482759,6.44247387879483,"5/-5"
"0.12",1,0.636,2,2.2,1.42,1,0.545282801244761,"5/-5"
"0.12",1,0.876,1,2.33333333333333,1.51666666666667,1.41666666666667,0.558049955726563,"5/-5"
"0.12",1,0.588,3,4.27777777777778,1.86666666666667,1,1.24176298408431,"5/-10"
"0.12",1,0.431,3,4,2.26,2.4,1.0319345371141,"5/-10"
"0.12",1,0.608,1,2.5,1.35,1,0.579750904364203,"5/-10"
"0.12",1,0.425,3,2.57777777777778,1.56333333333333,1.25,0.648831973188351,"5/-10"
"0.12",1,0.983,2,2.14285714285714,1.51428571428571,1.5,0.543775330423627,"5/-10"
"0.12",1,0.271,4,5.85714285714285,3.63857142857143,4.25,1.94258926724732,"5/-10"
"0.12",1,0.312,3,2.9,1.644,1,0.847626752238928,"5/-10"
"0.12",1,1,2,3,1.36666666666667,1,0.674948557710553,"5/-10"
"0.12",1,0.375,2,2.25,0.87468112244898,1,1.01154137052087,"5/-10"
"0.12",1,0.35,3,2.66666666666667,1.63333333333334,1.5,0.697437992287789,"5/-10"
"0.12",1,0.641,4,3.8,2.14,2,1.13548814759703,"5/-10"
"0.12",1,1,2,2.5,1.35,1,0.579750904364203,"5/-10"
